venue,id,venue,year,title,authors,author_ids,abstract,cites,conferencePercentile
UbiComp,0bc116031bc103b06cb74afe76ec199dc2c4815e,UbiComp,2015,No longer wearing: investigating the abandonment of personal health-tracking technologies on craigslist,"James Clawson, Jessica Pater, Andrew D. Miller, Elizabeth D. Mynatt, Lena Mamykina","7454378, 2300200, 1959580, 1752751, 3245570","Personal health-tracking technologies have become a part of mainstream culture. Their growing popularity and widespread adoption present an opportunity for the design of new interventions to improve wellness and health. However, there is an increasing concern that these technologies are failing to inspire long-term adoption. In order to understand why users abandon personal health-tracking technologies, we analyzed advertisements of secondary sales of such technologies on Craigslist. We conducted iterative inductive and deductive analyses of approximately 1600 advertisements of personal health-tracking technologies posted over the course of one month across the US. We identify health motivations and rationales for abandonment and present a set of design implications. We call for improved theories that help translate between existing theories designed to explain psychological effects of health behavior change and the technologies that help people make those changes.",15,93.6974789916
UbiComp,e1709925773b518d756d0e0107a3290e6f8c34d9,UbiComp,2015,"""If god gives me the chance i will design my own phone"": exploring mobile phone repair and postcolonial approaches to design in rural Kenya","Susan Wyche, Tawanna Dillahunt, Nightingale Simiyu, Sharon Alaka","1788824, 2232047, 3405694, 3482289","This article focuses on ""fundi wa simu,"" (mobile phone repairers) in rural Kenya and their ideas about mobile phone design. Our study design and analysis were guided by ideas from postcolonial computing; we use our qualitative findings, and outcomes from a drawing exercise, to show existing flaws in mobile phone design, and to explore how repairers' knowledge can lead to handsets that are better suited for rural Kenyans. Our argument is that, by engaging with repairers ""[on] their own terms,"" technologists can expand conversations around designing for the 'developing' world that go beyond building novel smartphone applications. In fact, such conversations can also include reimagining mobile phones, and supporting local repairers' efforts to manufacture them. We conclude by discussing ways to improve upon postcolonial approaches to technology design.",3,49.1596638655
UbiComp,c7f3d96a945d92618b88e3dd6faa1b26944124c3,UbiComp,2012,Façade map: continuous interaction with media façades using cartographic map projections,"Sven Gehring, Antonio Krüger","1758772, 1790548","The increasing number of media fa&#231;ades is a prominent example of the digital augmentation of urban spaces. Many media fa&#231;ades cover most of the outer shell of a building and come with a 3D form factor. They offer great potential for remote interaction in which the interactive area goes beyond the parts of the fa&#231;ade that are visible from the user's current perspective. Common interaction techniques often focus on a fixed part of the media fa&#231;ade. This restricts exploiting the full capabilities and the potential of such gigantic screens. In this paper we describe how to apply cartographic map projections to create 2D map representations of media fa&#231;ades to address this problem. We describe how a continuous interaction with the media fa&#231;ade is possible, independent of the form factor. We analyze existing media fa&#231;ades and provide a set of guidelines for how to create fa&#231;ade maps for different form factors.",6,70.7373271889
UbiComp,483ff7411ff21bdb6d3e5cf395dabf3acdc86e10,UbiComp,2013,Evaluating impact of storage on smartphone energy efficiency,David T. Nguyen,3234912,"We present an experimental study of how storage techniques impact energy consumption in smartphones. We design and implement a system that tracks I/O activities of smartphones in real-time and dynamically changes storage configuration by matching I/O patterns in order to reduce energy consumption. Our system is evaluated on the 20 most popular applications from Android Market, and our results show that the optimal configurations save from 21% to 52% of battery life. We believe that they highlight a new and interesting direction in which the topic of smartphone energy consumption can be further evaluated and expanded upon.",4,63.2653061224
UbiComp,0936e6aba67bec3b9884b2fe6b62a160f71e8ce4,UbiComp,2009,Understanding file access mechanisms for embedded Ubicomp collaboration interfaces,"Anthony Collins, Anastasia Bezerianos, Gregor McEwan, Markus Rittenbruch, Rainer Wasinger, Judy Kay","3225157, 1717129, 1801260, 2780903, 1945829, 1736168","This paper explores the nature of interfaces to support people in accessing their files at tabletop displays embedded in the environment. To do this, we designed a study comparing people's interaction with two very different classes of file system access interface: Focus, explicitly designed for tabletops, and the familiar hierarchical Windows Explorer. In our within-subjects double-crossover study, participants collaborated on 4 planning tasks. Based on video, logs, questionnaires and interviews, we conclude that both classes of interface have a place. Notably, Focus contributed to improved collaboration and more efficient use of the workspace than with Explorer. Our results inform a set of recommendations for future interfaces enabling this important class of interaction -- supporting access to files for collaboration at tabletop devices embedded in an ubicomp environment.",11,16.1290322581
UbiComp,c6376276fc51cf2bfb50e48203cec3a5a79757a5,UbiComp,2013,It takes a network to get dinner: designing location-based systems to address local food needs,"Lynn Dombrowski, Jed R. Brubaker, Sen H. Hirano, Melissa Mazmanian, Gillian R. Hayes","2513003, 3299367, 1782601, 3138595, 1722851","Based on an 18-month qualitative study that included the creation and testing of design considerations and a prototype location-based information system (LBIS), this research provides empirical insight into the daily practices of a wide variety of individuals working to address food insecurity in one U.S. county. Qualitative fieldwork reveals that nonprofit organizations in the food assistance ecology engage in location-based information practices that could be enhanced by the design of a LBIS. Two practices that would benefit from a collaborative LBIS are 1) practices of matching in which nonprofit workers help individuals who are seeking assistance to food resources and 2) practices of distribution in which nonprofit workers help organizations access and deliver food resources to clients. In order to support such practices across organizations the cooperative design component of this research suggests that an LIBS should: support the role of intermediaries who engage in practices of matching and distribution; provide interactive mapping tools that match resources to need; enable organizations to control visibility over specific data; and document work and impact. This research further suggests that designers should explore the wide variety of spatial patterns that must align and overlap such that ecologies of nonprofit organizations might synergistically work together to address pressing social needs.",4,63.2653061224
UbiComp,c79d4b4c2055ba2d9ae4e3bbc03ee04d3057fc46,UbiComp,2012,User profile generation reflecting user's temporal preference through web life-log,"Akinori Nakamura, Nobuhiko Nishio","1953605, 1720602","We have analyzed logs that which web pages are viewed by users. Information recommendation is one of hot research areas for users activities support. Although many of recommendation systems are eager to match a user's preference, if the user does not want that at that moment, it would be just a noise no matter how much match the preference matches user's preference over all. It is important to understand what the user really wants each of moment timely. Therefore, in this paper, we make use of the following two characteristics for inference user's temporal wish. First is to adapt the degree of user's each interest with time range evolution. Second, web browsing logs related to an activity has been temporarily reinforced. The preliminary result of an algorithm is introduced.",0,14.5161290323
UbiComp,fe6d680fdbc1b7f48e6faa4ab79017f47d79bd05,UbiComp,2013,A new urban technoscape component: the smart2poster,"Antonella Frisiello, Antonio Lotito, Giovanni Luca Spoto, Vito Macchia, Thomas Bolognesi, Francesco Ruà","2490633, 2445125, 2252074, 3161666, 2137149, 3300589","This paper presents the Smart2Poster concept, based on a traditional visual communication tool enhanced by the integration of a proximity technology such as the Near Field Communication (NFC). The concept has been designed and prototyped to study a situated interaction modality, bridging digital information and the surrounding physical world, by means of familiar objects (a poster, a smartphone and/or a TV screen). Two different usage scenarios have driven the design and the implementation of one prototype born to enable offline mediated interactions among public administrations and citizens.",0,13.2653061224
UbiComp,00690ca1e40b8934027d746ea475c6f9b1a4fd7c,UbiComp,2014,Large-scale evaluation of call-availability prediction,Martin Pielot,2884328,"We contribute evidence to which extent sensor- and contextual information available on mobile phones allow to predict whether a user would pick up a call or not. Using an app publicly available for Android phones, we logged anonymous data from 31311 calls of 418 different users. The data shows that information easily available in mobile phones, such as the time since the last call, the time since the last ringer mode change, or the device posture, can predict call availability with an accuracy of 83.2% (Kappa = .646). Personalized models can increase the accuracy to 87% on average. Features related to when the user was last active turned out to be strong predictors. This shows that simple contextual cues approximating user activity are worthwhile investigating when designing context-aware ubiquitous communication systems.",6,60.5263157895
UbiComp,8e49f1cff559a9dee3a4effbe714478277242d78,UbiComp,2012,Predicting future locations with hidden Markov models,"Wesley Mathew, Ruben Raposo, Bruno Martins","1996196, 1877909, 1699763","The analysis of human location histories is currently getting an increasing attention, due to the widespread usage of geopositioning technologies such as the GPS, and also of online location-based services that allow users to share this information. Tasks such as the prediction of human movement can be addressed through the usage of these data, in turn offering support for more advanced applications, such as adaptive mobile services with proactive context-based functions. This paper presents an hybrid method for predicting human mobility on the basis of Hidden Markov Models (HMMs). The proposed approach clusters location histories according to their characteristics, and latter trains an HMM for each cluster. The usage of HMMs allows us to account with location characteristics as unobservable parameters, and also to account with the effects of each individual's previous actions. We report on a series of experiments with a real-world location history dataset from the GeoLife project, showing that a prediction accuracy of 13.85% can be achieved when considering regions of roughly 1280 squared meters.",30,94.7004608295
