venue,id,venue,year,title,authors,author_ids,abstract,cites,conferencePercentile
VisSym,08a29b0b771a8950c19aa9dfdba8532b0ccfcef8,VisSym,2002,Secondary Task Display Attributes - Optimizing Visualizations for Cognitive Task Suitability and Interference Avoidance,"Christa M. Chewar, D. Scott McCrickard, Ali Ndiwalana, Chris North, Jon Pryor, David Tessendorf","1709938, 1693753, 2252713, 1796013, 1818151, 2132876","We found that established display design guidelines for focal images cannot be extended to images displayed as a secondary task in a dual-task situation. This paper describes an experiment that determines a new ordering guideline for secondary task image attributes according to human cognitive ability to extract information. The imperative for alternate guidelines is based on the difference in an image's ability to convey meaning, which decreases when moved from a focal to a secondary task situation. Secondary task attribute ordering varies with the level of degradation in the primary task. Furthermore, attribute effectiveness may be particular to types of visual operations relating to cognitive tasks.",13,28.0
VisSym,053bdf74489fc695c51b0b1b9ffe90ab24b25609,VisSym,2002,An Evaluation of Information Visualization in Attention-Limited Environments,"Jacob P. Somervell, D. Scott McCrickard, Chris North, Maulik Shukla","2949902, 1693753, 1796013, 1850209","People often need to quickly access or maintain awareness of secondary information while busy with other primary tasks. Information visualizations provide rapid, effective access to information, but are generally designed to be examined by users as the primary focus of their attention. The goal of this research is to discover how to design information visu-alizations intended for the periphery and to understand how quickly and effectively people can interpret information vi-sualizations while they are busily performing other tasks. We evaluated how several factors of a visualization (visual density, presence time, and secondary task type) impact peo-ple's abilities to continue with a primary task and to complete secondary tasks related to the visualization. Our results suggest that, with relaxed time pressure, reduced visual information density and a single well-defined secondary task, people can effectively interpret visualizations with minimal distraction to their primary task.",25,68.0
VisSym,1253d28c568f0f9aa70b0c525cee153759fd1122,VisSym,2004,Generalized Distance Transforms and Skeletons in Graphics Hardware,"Robert Strzodka, Alexandru Telea","8252391, 1686665","We present a framework for computing generalized distance transforms and skeletons of two-dimensional objects using graphics hardware. Our method is based on the concept of footprint splatting. Combining different splats produces weighted distance transforms for different metrics, as well as the corresponding skeletons and Voronoi diagrams. We present a hierarchical acceleration scheme and a subdivision scheme that allows visualizing the computed skeletons with subpixel accuracy in real time. Our splatting approach allows one to easily change all the metric parameters, treat any 2D boundaries, and easily produce both DTs and skeletons. We illustrate the method by several examples.",44,90.2777777778
VisSym,a358e3bfda5fb60f6e8a37c2da421a995bb0999e,VisSym,1999,VISSION: An Object Oriented Dataflow System for Simulation and Visualization,"Alexandru Telea, Jarke J. van Wijk","1686665, 1709060","Scientific visualization and simulation specification and monitoring are sometimes addressed by object-oriented environments. Even though object orientation powerfully and elegantly models many application domains, integration of OO libraries in such systems remains a difficult task. The elegance and simplicity of object orientation is often lost in the integration phase, so combining OO and dataflow concepts is usually limited. We propose a system for visualization and simulation with a generic object-oriented way to simulation design, control and interactivity, which merges OO and dataflow modelling in a single abstraction. Advantages of the proposed system over similar tools are presented and illustrated by a comprehensive set of examples.",11,50.0
VisSym,0daa0ea273964d3ec80dba883219c3086a770dc9,VisSym,2002,Direct Volume Rendering of Photographic Volumes Using Multi-Dimensional Color-Based Transfer Functions,"Christopher J. Morris, David S. Ebert","2739257, 1701512","Traditionally, volume rendering of medical data has been comprised of transfer functions that map a scalar value, usually a MRI or CT intensity, to an opacity. Corresponding color maps are either selected regardless of the actual physical color of the volume (i.e. greyscale) or predetermined as in photographic volumes. Rarely has the voxel color been used as a means to define the associated opacity value. By using transfer functions that map multi-channel color values(RGB or CIE L * u * v *) to opacity, we can generate compelling and informative renderings that provide consistent boundary extraction throughout the volume. We present renderings of the Visible Human photographic volume using multi-dimensional color-based transfer functions. These functions were constructed by using gradient boundary enhancement techniques in conjunction with volume illustration techniques and incorporating the first and second directional derivatives along the gradient direction. We empirically compare the effectiveness of using the color-based transfer functions and discuss their applications and potential for future development.",9,24.0
VisSym,f8809b93c1298bf52c9db7c7ea6e8fa8b5a159e9,VisSym,2001,Case Study: Visualization and Information Retrieval Techniques for Network Intrusion Detection,"Travis Atkison, Kathleen Pensy, Charles K. Nicholas, David S. Ebert, Rebekah Atkison, Christopher J. Morris","2242615, 2389734, 1761870, 1701512, 2302600, 2739257","We describe our efforts to analyze network intrusion detection data using information retrieval and visualization tools. By regarding Telnet sessions as documents, which may or may not include attacks, a session that contains a certain type of attack can be used as a query, allowing us to search the data for other instances of that same type of attack. The use of information visualization techniques allows us to quickly and clearly find the attacks and also find similar, potentially new types of attacks.",5,29.3103448276
VisSym,7b618e79f80aff3e1680ec7ef252286b27965a80,VisSym,2004,Interactively Visualizing Procedurally Encoded Scalar Fields,"Yun Jang, Manfred Weiler, Matthias Hopf, Jingshu Huang, David S. Ebert, Kelly P. Gaither, Thomas Ertl","8382437, 1762586, 1769433, 4676048, 1701512, 1710352, 7354350","While interactive visualization of rectilinear gridded volume data sets can now be accomplished using texture mapping hardware on commodity PCs, interactive rendering and exploration of large scattered or unstructured data sets is still a challenging problem. We have developed a new approach that allows the interactive rendering and navigation of procedurally-encoded 3D scalar fields by reconstructing these fields on PC class graphics processing units. Since the radial basis functions (RBFs) we use for encoding can provide a compact representation of volumetric scalar fields, the large grid/mesh traditionally needed for rendering is no longer required and ceases to be a data transfer and computational bottleneck during rendering. Our new approach will interactively render RBF encoded data obtained from arbitrary volume data sets, including both structured volume models and unstructured scattered volume models. This procedural reconstruction of large data sets is flexible, extensible, and can take advantage of the Moore's Law cubed increase in performance of graphics hardware.",33,79.1666666667
VisSym,4cf8bcee430923986622cd1674ce3932e156b57b,VisSym,2000,Integrated Multiresolution Geometry and Texture Models for Terrain Visualization,"Konstantin Baumann, Jürgen Döllner, Klaus H. Hinrichs","3010857, 1774471, 1685162","In this paper, an approach for integrating multiresolution representations of terrain geometry and terrain texture data is presented. A terrain is mod-eled by a regular grid, which can be partially refined by local TINs in order to represent morphologically complex terrain parts. The multiresolution models for terrain texture data and geometry data are closely related: The rendering algorithm selects geometry and texture patches based on screen-space error criteria. Multiple texture hierarchies, which may represent different thematic information layers, can be bound to one terrain model. Multiple textures lead to a drastic improvement of visual quality: Topographic textures can be used to provide pixel-precise shading, alpha textures can be used to restrict or to highlight thematic textures. Multiple textures facilitate the development of visual interaction tools such as magic lenses, and texture animations. Multitexturing permits an efficient implementation of these concepts.",2,15.0
VisSym,68f979ecd5da7cb7e4efb38580ead36391c05089,VisSym,2004,A Cluster-Space Visual Interface for Arbitrary Dimensional Classification of Volume Data,"Fan-Yin Tzeng, Kwan-Liu Ma","3165649, 1707383","In volume visualization, users typically specify transfer functions to classify the data and assign visual attributes to each material class. Higher-dimensional classification makes it easier to differentiate material classes since more data properties are considered. One of the difficulties in using higher-dimensional classification is the absence of appropriate user interfaces. We introduce an intuitive user interface that allows the user to work in the cluster space, which shows the material classes with a set of material widgets, rather than work in the transfer function space. This interface not only provides the user the capability to specify arbitrary-dimensional transfer functions, but also allows the user to operate directly on the classification and visualization results.",49,94.4444444444
VisSym,430958da487dc04e23d67d2d3d7d03b8296a2586,VisSym,2000,A Case Study of Isosurface Extraction Algorithm Performance,"Philip M. Sutton, Charles D. Hansen, Han-Wei Shen, Daniel Schikore","3301588, 1782141, 1678556, 1739730","Isosurface extraction is an important and useful visualization method. Over the past ten years, the field has seen numerous isosurface techniques published , leaving the user in a quandary about which one should be used. Some papers have published complexity analysis of the techniques, yet empirical evidence comparing different methods is lacking. This case study presents a comparative study of several representative isosurface extraction algorithms. It reports and analyzes empirical measurements of execution times and memory behavior for each algorithm. The results show that asymptotically optimal techniques may not be the best choice when implemented on modern computer architectures.",22,75.0
